text,label
what's the usual time to get a new card when your previous one was lost,2
how long will it take before the postal service delivers my new card,2
what's the typical time it takes for a new card to arrive,2
when will i get a replacement card for a lost one,2
what's the eta for a new card to come in the mail,2
my last card was stolen and i want to know how long until i get my new one,2
how many days till i get a new card to replace the stolen one,2
what's the average time it takes for a new card to arrive,2
how long until the credit card company replaces my lost card,2
how long does it take to get a replacement credit card when your last one was stolen,2
how soon will i be sent a new card,2
how many days does it take to receive a new card,2
how long does it take you to mail me a new card,2
how soon will you mail me a new card,2
what is the earliest date i can get my new card,2
whats the wait time for a replacement card,2
how long until i get a replacement card,2
how long before i can get a replacement card,2
when will a replacement card get here,2
how long is the shipping for my replacement card,2
what date will my replacement card arrive on,2
is my replacement card coming soon,2
when will my card replacement arrive,2
when will my card come,2
when should i expect my replacement card,2
when will my replacement card get mailed,2
do you know when my card will come in,2
do when you when my replacement card will get mailed,2
what date will my replacement card get mailed,2
what would be the estimated time from to get a new card mailed to me,2
what is the time frame to get a new card mailed to me,2
how long until i can expect my new card to get mailed to me,2
when will my application for my credit card be processed,3
has the discover card approved my app,3
do you know if my amex card app went through,3
have they looked over my app for the new credit card yet,3
has my application for the mastercard card gone through,3
have my app for a new card been processed yet,3
has the application i put in for a new visa been processed,3
has there been any notice that my card app has been looked at,3
has visa gotten back to me regarding my card app,3
see if my form submission for an american express card has been seen,3
do you know if anyone's even looked at the application i sent in for the new visa card,3
has anyone looked at my mastercard application,3
have i gotten confirmation for my credit card app,3
can you check if my application for a discovery card has been looked over yet,3
is there any indication my application for a new credit card has been processed,3
"i put in a credit card application, so what is the status with it currently",3
did my visa card app go through yet,3
did my chase card application go through yet,3
do you know the status of the credit card application i filed,3
has the application for my visa been processed,3
i filed a credit card application so what is going on with it,3
did my american express card application go through yet,3
what is the status of the application for a credit card i put in,3
has the application for my american express been processed yet,3
my credit card application has what status,3
where can i go to see if my credit card application has been processed,3
will i be notified when my application has been processed,3
what is the status of my credit card application,3
how will i know when my application for a credit card has been processed,3
where can i find out the status of my credit card application,3
"tell me if my application has been processed yet, i signed up for a credit card recently",3
can you check and see if my credit card application has been approved or not,3
has my application for a trust bank credit card been mailed out and if so was i approved or not,3
could you check and see if my credit card application has been processed and approved or not,3
i want to know if my application for a credit card at community bank has been approved or not,3
can you find out if my application at smith bank was approved or not  i applied for s credit card a month ago,3
can you tell me if my application for a credit card has been processed yet it was at chase bank,3
was my application approved or not for a credit card at chase bank,3
i want an update on my application for a credit card that i sent in a couple weeks ago,3
i haven't heard if my application for a credit card has been accepted or not can you check on it for me,3
please look into the latest status of my credit card application,3
can you update me on the status of my american express card application,3
"can you find out the latest on my credit card application, i haven't heard an update in some time",3
find out for me if my amex card application was received,3
can you check the status of my credit card application,3
how can i track the progress of my credit card application,3
"has my credit card application been received, or what is its current status",3
i need to know what the latest is with my application for a visa credit card,3
please check the status of my mastercard application,3
do you know what the latest is with my credit card application,3
i would like an update on the progress of my credit card application,3
update me on the status of my credit card application,3
please get me an update on the status of my credit card application,3
has there been any changes in the status of my credit card application,3
please find out the current status of my credit card application,3
i want to be updated on the most recent status of my credit card application,3
tell me the present status of the credit card application i submitted,3
look into the status of the credit card application i submitted recently for my new card,3
look to see if my application for the barclay's card has gone through yet,3
i want to know if my credit card application has been processed yet,3
i need to know if the application been processed,3
tell me straight if it has been processed or not,3
can you tell me when my credit card application will be processed,3
how much longer until my credit card application is checked,3
when will my credit card app be approved,3
has my credit card application gone through,3
check on my credit card application,3
do i have any updates about my credit card application,3
has my credit card application been processed,3
have i received any messages about my credit card application,3
when can i hear the decision on my credit card application,3
my credit card application status,3
"i applied for the credit card, have you processed my application",3
how long to process my credit card application,3
how is my application on new credit card going,3
what is the status of my new credit card application,3
is my application processed for credit card,3
help with credit card application status,3
is my credit card application approved,3
what is the status of my application for the credit card,3
has my credit card application been processed yet,3
what's the current status of the credit card i applied for,3
in what status is my credit card application,3
did the application i put in for a mastercard go through yet,3
has my application for a new credit card been processed,3
has my amex application gone through yet,3
i applied for a visa card; did that go through,3
what status is my card application in,3
did they process the credit card i applied for,3
i applied for a new credit card; did it process yet,3
did discover get my card application yet,3
tell me about my american express application; did it go through,3
tell me a little more about the status of my credit card application,3
tell me the status of my credit card application,3
is the processing done on my new credit card,3
i'm desperate to know about my cc processing,3
have you heard anything back on my cc application,3
is it likely my credit card application has processed yet,3
has my credit card application been approved,3
when will my cc application process,3
savings account balance at chase bank please,4
check chase bank for my checking balance,4
what is my checking account balance at chase,4
i want my checking balance at chase,4
what's my savings balance at chase,4
do i have enough money in my chime bank account to take ashley to the movies tuesday,4
check my visa account and see if i have enough money for dinner tonight,4
is tehre enough in my bluebird account for groceries this week,4
do i have enough in my sears account to buy a new dishwasher,4
is there enough money in my discover account for a new pair of jeans,4
what is the total of my bank accounts,4
what is in my bank accounts,4
what is the balance on my bank accounts,4
what is remaining in my bank acccounts,4
how much money is left in my bank accounts,4
what amount of money is in my bank accounts,4
what is the balance of my bank accounts,4
what what kind money is available in my bank accounts,4
what is the value of my bank accounts,4
how much funds do i have in my bank accounts,4
what's my checking account balance,4
how much do i have in my checking,4
what's the balance of my savings,4
how much is in savings,4
how much money is in my checking account,4
what's the amount of money accumulated in my bank accounts,4
what's my current bank savings,4
how much total cash do i have in the bank,4
what's my current checking balance,4
can you tell me my current bank accounts balance,4
what's the balance of my bank accounts,4
what is my current balance on my home equity line of credit,4
please find my balance on my chase mastercard,4
can you tell me my checking account balance,4
perform a search for my most recent balance on my amex account,4
how much is the current balance in my td bank savings account,4
what is my balance in checking account,4
how much is available in my savings account,4
tell me what i have in my money market account,4
how much money do i have in my account,4
how much is left of mastercard,4
what is the available balance in savings,4
what is the balance on my visa,4
do i have enough money in my chase account for a new refrigerator,4
do i have enough money in my charles schwab account to get a new baseball bat,4
i'd like to know my bank balance please,4
what's the balance on my bank account,4
will the money in my capital one account cover a new washing machine,4
could you check my bank balance for me,4
will the amount in my chase bank account right now cover the cost of a new dryer,4
i want to get a new shirt; will the money in my td ameritrade account cover it,4
how much do i have in the bank,4
what's my bank balance,4
what is my bank balance,4
is there any money left,4
do i have any cash left,4
can you tell me how much cash i have,4
do i have enough in my boa account for a new pair of skis,4
do i have enough in my chase account for new nikes,4
can the funds in my wells fargo account cover my lift tickets,4
do i have enough to cover new skis in my bank of america account,4
do i have enough in my chase account for a plane ticket,4
do you know how much i have in checking,4
what is my saving's account balance,4
what's the balance in my checking,4
how much do i have in savings,4
could you tell me what my checking account balance is,4
what's my total net worth in all of my bank accounts,4
what's my account balance,4
i want to view my balance,4
check my bank balance,4
how much money do i have in all of my accounts,4
how much money do i have in all of my accounts combined,4
what's my checking balance,4
how much money do i have total,4
what's the total of my bank accounts,4
how much money do i have in checking,4
i wish to know the balance of my bank of american account,4
what is the balance of my bank of american account,4
i need to know my bank balance,4
i wanna know the balance of my bank of american account,4
i'd like to know the balance of my bank of american account,4
i wish to know the balance of my bank of american account now,4
please tell me my bank balance,4
i wanna know my bank balance,4
please let me know what my current bank balance is,4
what is status of my bank account,4
what is my balance,4
what is the balance of my bank account,4
what is is the details of my bank account,4
is there enough money in my discover account for a vacation,4
is there enough money in my account for expenses,4
do i have enough money in my first hawaiian bank account for a vacation,4
is there enough money in my bank of hawaii for vacation,4
is there enough money in my discover account for airplane tickets,4
what is my savings account balance,4
what is my savings balance,4
what is my money market account balance,4
what is my bank balance for all accounts,4
tell me my payroll account balance,4
can you block my chase account right away please,5
i want my chase account blocked immediately,5
i need you to block my chase account immediately,5
can you put a block on my chase account right away,5
please block my chase account right away,5
what do i do to freeze my account,5
place a hold on my bank account,5
how can i stop transactions on my account,5
freeze my account immediately,5
block my monkey market right now,5
put a stop on my deposit account,5
stop any future processing on my savings account,5
put a hault on my savings account,5
"could you put a stop on my bank account, please",5
can you put a stop on my bank account now,5
"can you put a stop on my bank account, please",5
could you freeze my account,5
"could you freeze my account, please",5
can you put a stop on my bank account,5
"can you freeze my account, please",5
could you freeze my account now,5
can you freeze my account,5
could you put a stop on my bank account,5
do you mind putting a stop on my bank account,5
i would like you to put a stop on my bank account,5
please turn my account to frozen,5
please make my account a frozen one,5
please make sure my account is frozen,5
is it too much trouble to put a stop on my bank account,5
i would love it if you could put a stop on my bank account,5
i would appreciate it if you put a stop on my bank account,5
please set my account as frozen,5
please freeze my account,5
i need my account frozen,5
i'd like my account frozen,5
i would like my account frozen,5
i want my account frozen,5
i really want my account frozen,5
no payments on my bank account,5
turn off my bank account,5
stop all payments to my bank account,5
shut down my account,5
close out my account,5
turn off my account,5
i need to hold off on my account,5
plase hold my account for now,5
terminate the account,5
i am going to need a block put on my chase account right away,5
would you please put a block on my chase account right away,5
i would like a block put on my chase account asap,5
can you please put a block on my chase account quickly,5
i need a block put on my chase account right away,5
i need to put a freeze on my banking account,5
put a freeze on my bank account,5
freeze my bank account,5
can i freeze my bank account,5
i want you to immediatly block any further activity on my bb&t bank account,5
block my citibank account right away,5
add a block to my capital one bank account so it cannot be used any more,5
please immediatly block my presidential bank account right now,5
put a block on my amalgamated bank account right now,5
please put a stop on my back account,5
please put a block on my td ameritrade account now,5
i'd like a stop placed on my bank account,5
place a block on my capital one account right now,5
i'd like a block on my charles schwab account immediately,5
"i need you to place a stop on my bank account, thank you",5
place a stop on my bank account,5
i need you to freeze my account,5
i need you to block my mutualone account now,5
"help me freeze my bank account, please",5
i'd like to put a freeze on my bank account,5
block my chase account asap,5
can you please freeze my bank account,5
can you please put a stop on my bank account,5
pause my account,5
put a hold on my bank account,5
please do a stop on my bank account,5
stop payments from my bank,5
put a hold on my account,5
stop my account activity,5
please pause my banking actions,5
dont allow any action on my account,5
don't let payments go through using my bank account,5
please freeze my bank account,5
i want my bank account frozen,5
my bank account must be frozen,5
please ask the bank to freeze my account,5
i need to freeze my bank account,5
put a block on my chase account right away,5
put a hold on my chase account right away please,5
freeze my account,5
place a stop on my main account for me please,5
please put a block on my wells fargo account,5
put a hold on my bank account please,5
put a hold on my bank of america account right away please,5
can you notify the bank to put a stop on my account,5
can you put a stop on my account,5
i need a stop placed on my bank account please,5
can you put a block on my visa account right away,5
before i make my mastercard payment can you tell me what i've recently charged on it,6
please tell me all of my recent transactions,6
i want to pay my amazon credit card but i need to know the last few transactions,6
before i pay my walmart credit card did i make any purchases using it recently,6
i need to know all the recent transactions i've made,6
please tell me all the transactions i've made recently,6
what are the last ten transactions i've made,6
"before i pay my capital one, what are the most recent transactions i've made",6
tell me the most recent charges on my chase credit card before i pay the bill,6
read off to me the last five transactions i've made,6
what transactions have i made on liquor in the past month,6
i'd like to see last week's atm transactions,6
show me the transactions from costco yesterday,6
i need to know something about my latest transaction,6
can you check on a transaction for me,6
i need some information on a recent transaction,6
i need a recent transaction looked into,6
can you let me know my latest transactions,6
what was the last thing i purchased,6
what did i buy last,6
how much did my last purchase cost,6
how expensive was my most recent transaction,6
when was my most recent transaction,6
show me the transactions made on my business card for supplies last quarter,6
may i get all of the food transactions that were made last month,6
can you show me the transactions that were made last night at the restaurant,6
what transactions did i make yesterday at the flea market,6
please show me what transactions i made on the first of this month,6
please tell me my in-person transactions for the last three days using my debit card,6
please give me my last ten debit card transactions in the month of december,6
what were my last five transactions on my visa card,6
i would like to hear all transactions made on my amex for the last ten days,6
can you list all of my online transactions for the month of january,6
show me my transactions on groceries,6
show me my transactions on tacobell,6
show me my transactions on make up at sephora,6
show me my transactions on mcdonalds,6
show me my transactions on clothes at macys,6
let me see the list of tranaction on my discovery credit card,6
let me know the list of transaction on my first hawaiian bank,6
i want to see the list of transaction on my bank of hawaii,6
list me my recent transaction,6
what are my recent transaction,6
please show me my recent transaction,6
i want to see my recent transaction,6
let me check my transaction for first bank card,6
let me check my transaction on my citi card,6
show me my recent transactoin,6
on my card what have been my recent purchases,6
pull up my recent transactions on my mastercard,6
on the card can you give me the last transactions,6
whats my recent transactions on my card,6
on my card what all are my latest transactions,6
show my transaction statement,6
retrieve my recent transactions,6
view my transactions for the last week,6
my transaction history,6
may transactions for last 2 days,6
what was my last transaction,6
show me recent transactions,6
what transactions happened in the last week,6
show me the last month of transactions,6
show me the last five transactions,6
what's the last transaction i made yesterday,6
show me yesterday's last transaction,6
open yesterday's last payment,6
show me last transaction,6
show me transactions related to travel,6
help me get access to my recent transaction history,6
i need to see my shopping transactions,6
get me access to a list of my recent transactions,6
i would like to take a look at my transaction history,6
can you pull up my most recent transactions,6
i want to see my entertainment transactions,6
where can i find my recent transaction history,6
can you show me transactions related to utilities,6
pull up my grocery transactions,6
what were my purchases on visa card last month,6
i spent what dollar amount last month on mastercard,6
what was the amount that i spent on fidelity visa last month,6
what did i spend at target on my barclays card last month,6
what amount did i spend for food on chase visa on current bill,6
i need to know last months transactions,6
i need to know the transactions i made on the 10th,6
i would like to see the transactions i made last week,6
can i see my transactions on the 7th,6
can i get my transactions for the date of the 23rd,6
show me the transaction on burger king,6
show me the transaction on macys,6
show me the transaction on mcdonald,6
show me the transaction on the food,6
show me the transaction on my car,6
bring up all purchases from target,6
show me my transactions within the past week,6
can i see my transactions from yesterday,6
show me all gas purchases within the last month,6
can you list all recent transactions,6
bring up my most recent purchases,6
i need to see all visa purchases for march,6
"looking at january, show all wine purchases",6
how much did i spend at restaurants last week,7
how much have i spent lately on eating out,7
what did i spend at the grocery store yesterday,7
how much money did i spend at starbucks in the last week,7
what was the total i spent at home depot last month,7
where did all my money go this month,7
what have my expenditures been at macys,7
how much did i spend this week,7
how much did i spend on christmas gifts in december,7
how much money did i spend yesterday,7
what did i spend at bath and body works last month,7
how much did i spend on lunches last week,7
what amount did i spend last week,7
what did i spend my money on last week,7
how much did i spend on movies last week,7
have i been spending a lot on groceries lately,7
have i been spending a lot on shoes lately,7
have i been spending a lot on food lately,7
have i been spending a lot on alcohol lately,7
have i been spending a lot on take out lately,7
how much have i spent on shoes lately,7
did i spend a lot on shoes recently,7
how much have i spent on shoes,7
have i have been spending a lot of money on shoes,7
what is the total i spent on shoes recently,7
what have i spent over the last few days,7
how much have i spent recently,7
how much money have i dropped recently,7
how much money have i spent this month,7
what's the amount of money i spent yesterday,7
could you tell me how much i've spent over the past two weeks,7
how much money have i spent this week,7
could you tell me how much money i spent last week,7
please tell me how much i have spent recently,7
how much did i spend last week,7
can you tell me my spending history from last week,7
i want to know how much i spent last week,7
i want to know my recent spending,7
how much have i paid for rent in the last 6 months,7
how much money have i spent on groceries recently,7
how much did i spend on groceries today,7
how much have i spent eating out this week,7
what chunk of my income have i spent on rent this year,7
what's it been costing me to buy three packs a day,7
what have car repairs ran me this month,7
what has gas cost me this week,7
what did car insurance run me this year,7
what's the total amount i've spent eating out in the last two weeks,7
how much have i spent on alcohol recently,7
how much have i spent on books recently,7
how much have i spent on food recently,7
how much have i spent on bills recently,7
how much have i spent on clothes recently,7
i need to know my total spending on amazon for november and december 2018,7
please list my total spending on grocery shopping for the last two months,7
how much have i spent on starbucks since the beginning of 2019,7
what is my total spent on dining out for the month of january,7
what is the total amount that i have spent on the cash app for this month so far,7
have i spent a lot on food recently,7
i need to know what i have spent on food recently,7
can you tell me what i have spent on food recently,7
what have i spent on food recently,7
what is the amount i have spent on food recently,7
how much have i lately spent on eating out,7
what have i spent lately in child care,7
how much have i spent lately on food,7
how much money have i recently spent on entertainment,7
how much have i paid in medical expenses recently,7
how much did i spend on gas last week,7
can you tell me what i spend on gas for the past two weeks,7
yesterday what did i spend on lunch,7
i need to know what i spend on utilities for the last year,7
what did i spend on groceries this month,7
have i been giving lot of money to food to food lately,7
how much money did i use to spend on catering five hours ago,7
how much did i spend on gear two weeks ago,7
have i been spending a lot on roast beef lately,7
have i been spending a ton of money on movies lately,7
how much money did i spend on tent equipment four hours ago,7
how much did i spend on furniture last week,7
how much did i spend on petrol 2 days ago,7
how much money did i spend on food last month,7
would please let me know how much i spent on food in january,7
could you check my account and let me know how much i spent on food in january,7
please check and tell me the amount i spent on food last month,7
let me know the amount i spent on food last month,7
i have been spending a lot on food out lately,7
i have spent a lot on groceries lately,7
i spent a lot on vacations recently,7
i have been spending a lot on utility bills lately,7
i have been spending a lot on insurance lately,7
did i go out to eat more than usual,7
have i been spending more money at restaurants,7
how much did i spend on food,7
how much do i spend going out to eat,7
what's my going out to eat tab this month vs last month,7
how much did i spend shopping for clothes today,7
how much did i spend the past 3 days,7
how much did i spend on gas the past month,7
how much have i spent on food in the past week,7
how high are the rewards on my discover card,8
how many rewards do i now have on my hy-vee card,8
what's the current reward amount on my mastercard,8
what's my current reward balance on my amex card,8
what's my visa's current rewards balance,8
how many reward points have stacked up for my amex card,8
how many reward points do i have available to redeem on my visa,8
what's the current reward amount on my visa,8
what's the reward point count on my discover card,8
what is my american express card's rewards balance,8
what is my chase card's rewards balance,8
what is my wells fargo card's rewards balance,8
what is my citigroup card's rewards balance,8
what is my bank of america card's rewards balance,8
how can i see my rewards for my visa card,8
tell me how to check my rewards for my american express card,8
how can i look at rewards for my amex card,8
tell me how to check rewards for my mastercard,8
where are rewards from my visa card visible,8
what is my current reward point total on my visa card,8
how would i be able to check my kohls rewards card,8
i need to know my reward point total looking at my debit card,8
do i have enough points on my starbucks card yet,8
help me check my visa rewards card,8
can i check my gold rewards card online,8
can you tell me how many points i have on my kohls card,8
what is the easiest way to check my bank rewards card,8
is there a better way to check my visa rewards card balance,8
how many points are on my gold card,8
what's the amount of points i have earned with my discover card,8
i wonder how many points i have earned with my bank of america card,8
have i earned a lot of points on my capital one card,8
can you tell me how many points i have to date with my capital one miles card,8
what's the total number of points i earned so far with my chase rewards card,8
how many points have i already accrued on my chase mastercard,8
"i would like my total rewards points balance on my bank of america platinum rewards card, please",8
i need to hear how many points i've obtained on my capital one visa,8
how many points did i get on my discover card,8
how many points did my visa earn,8
what points were earned on my mastercard,8
how many points have been earned on my amex,8
how many points did i get on my visa card,8
what's the balance of my reward points on my discover card,8
i need to know my rewards balance on my discover card,8
what's my discover card reward balance,8
what's my rewards balance on my discover,8
what is the reward balance on my discover card,8
how many rewards points do i have for my visa card,8
how many rewards points do i have for my wells fargo card,8
how many rewards points do i have for my amazon card,8
how many rewards points do i have for my chase card,8
how many rewards points do i have for my mastercard,8
what is my points total for my mastercard,8
what's my total point number on my mastercard,8
how many points do i have on my mastercard,8
what is the number of points i earned with my mastercard,8
how many points have i accumulated on my mastercard,8
how can i see my rewards for my chase card,8
where can i find my rewards for my chase card,8
what do i have to do to see my rewards for my chase card,8
how do i see me rewards for my chase card,8
where are my rewards for my chase card,8
what's the point balance on my marriot rewards card,8
how many points do i have in total on my marriot rewards card,8
show me the total up to date points on the marriot rewards card,8
my marriot rewards card has how much for a point total,8
give my my current points on my marriot rewards card,8
can you tell me my starbucks rewards balance,8
can you help me tell what my starbucks rewards balance is,8
what is the remainder of my starbucks rewards balance,8
my starbucks rewards balance is,8
what is the total amount of my starbucks rewards balance,8
i have how many points on my amex right now,8
how many points are on my speedway card right now,8
i have how many tier credits on my caesar's card,8
how many points do i have on my mlife card,8
how many delta miles are on my card right now,8
how many rewards do i have on my chase card,8
how do i find out my rewards balance on my chase card,8
can i check my visa reward balance online,8
when can i receive rewards on my visa card,8
how do i check how many rewards i have on my master card,8
how do i check my rewards for my gold card,8
what rewards does my gold card get,8
where do i find my gold card rewards,8
